"ID";"Ключевые слова"
"1";"Alternative energy Cars Climate change Culture Environment"
"2";"MacArthur grant Alternative energy Design Engineering Global issues"
"3";"Business Corruption Culture Development Economics"
"4";"NASA Aircraft Business Design Engineering"
"5";"Arts Business Cars Design Industrial design"
"6";"DNA Biosphere Biotech Entrepreneur Genetics"
"7";"Computers Entertainment Interface design Media Music"
"8";"New York Architecture Arts Cities Collaboration"
"9";"Business Cars Education Industrial design Innovation"
"10";"Culture Disease Food Global issues Health"
"11";"Africa Animals Culture Environment Global issues"
"12";"Cancer Disease Health Science Technology"
"13";"Architecture Arts Business Creativity Culture"
"14";"Art Arts Entertainment Invention Music"
"16";"Cognitive science Culture Evolution Gender Love"
"18";"DNA Animals Biology Biomimicry Design"
"19";"Choice Culture Evolution Future History"
"20";"Business Choice Consumerism Culture Economics"
"21";"Business Communication Community Culture Design"
"22";"Culture Entertainment Faith Illusion Religion"
"23";"Activism Arts Collaboration Culture Film"
"24";"Arts Dance Entertainment Nature Performance"
"25";"Business Collaboration Culture Education Global issues"
"26";"Arts Culture Entertainment Love Performance"
"27";"DNA Arts Biology Creativity Design"
"28";"Business Choice Culture Marketing Storytelling"
"29";"Business Cities Culture Economics Race"
"30";"Business Cars Culture Economics Parenting"
"31";"Architecture Arts Cities Culture Design"
"32";"Brazil Art Creativity Design Illusion"
"33";"Culture Global issues Military Peace Technology"
"34";"Activism Arts Culture Design Education"
"35";"DNA Culture Genetics History Invention"
"36";"Business Cities Culture Development Entrepreneur"
"37";"Business Collaboration Culture Invention Media"
"38";"Biotech Business Culture Future Invention"
"39";"Aging Biotech Disease Engineering Future"
"40";"Animals Art Arts Design Evolution"
"41";"One Laptop Per Child Children Design Education Entrepreneur"
"42";"Astronomy Climate change Complexity Cosmos Leadership"
"43";"Arts Business Design Industrial design Product design"
"44";"Biotech Culture Future Global issues Happiness"
"45";"Arts Entertainment Music Performance Violin"
"46";"Arts Creativity Entertainment Music Performance"
"47";"Climate change Cosmos Culture Environment Global issues"
"48";"MacArthur grant Arts Collaboration Design Innovation"
"49";"Architecture Arts Collaboration Culture Design"
"50";"Art Arts Design Happiness Typography"
"51";"MacArthur grant Business Economics Energy Environment"
"53";"MacArthur grant Activism Business Cities Environment"
"54";"Activism Architecture Collaboration Culture Design"
"55";"Arts Culture Entertainment Film Global issues"
"56";"Art Arts Cities Culture Design"
"57";"Business Disease Health care Invention Medicine"
"58";"Collaboration Disease Ebola Epidemiology Global issues"
"59";"AIDS Africa Activism Entertainment Global issues"
"60";"MacArthur grant United States Arts Culture Entertainment"
"61";"Cities Culture Design Epidemiology Health"
"62";"AIDS Africa Business Choice Climate change"
"63";"Business Collaboration Culture Economics Innovation"
"64";"Arts Culture Entertainment Gender Global issues"
"65";"Demo Design Interface design Technology"
"66";"Children Creativity Culture Dance Education"
"67";"Culture Genetics Science Statistics Technology"
"68";"Cooperation Culture Global issues War"
"69";"Anthropology Culture Environment Film Global issues"
"70";"Business Culture Education Entertainment Happiness"
"71";"Christianity God Culture Happiness Leadership"
"72";"Business Culture Economics Entertainment Marketing"
"73";"Choice Culture Happiness Health Parenting"
"74";"Alternative energy Business Cities Collaboration Culture"
"75";"Business Culture Global issues Investment Media"
"76";"Animals Apes Biology Culture Education"
"77";"Biology Biomechanics Oceans Online video Science"
"78";"Arts Brain Cognitive science Culture Design"
"79";"Alternative energy Business Communication Culture Development"
"80";"DNA Biotech Business Culture Genetics"
"81";"Arts Entertainment Live music Music Poetry"
"82";"Culture Demo Global issues Health care Invention"
"83";"Ants Biodiversity Biology Biosphere Global issues"
"84";"Activism Arts Culture Global issues Media"
"85";"Africa Business Culture Economics Global issues"
"86";"Christianity God Arts Atheism Comedy"
"87";"Arts Collaboration Comedy Community Culture"
"89";"Climate change Culture Exploration Global issues Personal growth"
"90";"Computers Culture Engineering Invention Materials"
"91";"Africa Business Culture Development Entrepreneur"
"92";"Africa Asia Google Demo Development"
"93";"Business Choice Culture Decision-making Economics"
"94";"God Atheism Brain Cognitive science Consciousness"
"96";"Business Culture Entertainment Goal-setting Motivation"
"97";"Brain Choice Culture Evolution Happiness"
"98";"Astronomy Biology Cognitive science Cosmos Evolution"
"99";"Climate change Environment Guitar Music Performance"
"101";"Arts Cello Entertainment Music Performance"
"102";"Brain Consciousness Culture Entertainment Illusion"
"103";"Arts Creativity Entertainment Live music Music"
"104";"Architecture Business China Cities Culture"
"105";"United States Business Entrepreneur History Innovation"
"108";"Arts Entertainment Memory Performance Poetry"
"109";"Arts Composing Entertainment Guitar Music"
"110";"Arts Composing Entertainment Guitar Memory"
"112";"God Culture Disaster relief Global issues Natural disaster"
"113";"God Atheism Culture Politics Religion"
"114";"Arts Comedy Culture Performance"
"115";"Arts Entertainment Live music Music Performance"
"116";"Culture Faith Meme Philosophy Religion"
"117";"Entertainment History Music Performance Violin"
"118";"Google Business Collaboration Culture Design"
"119";"Arts Culture Entertainment Live music Music"
"121";"Alternative energy Architecture Cars Cities Consumerism"
"122";"Arts Collaboration Creativity Culture Design"
"123";"Business Cities Culture Future Global issues"
"125";"AI Brain Cognitive science Computers Intelligence"
"126";"Animals Biodiversity Climate change Environment Fish"
"127";"Business Corruption Global issues Investment Women"
"128";"Climate change Environment Global issues Green Investment"
"129";"Collaboration Demo Microsoft Photography Software"
"130";"Buddhism God Culture Global issues Happiness"
"131";"Demo Interface design Software Technology"
"138";"Arts Cello Collaboration Culture Entertainment"
"139";"Design Map Microsoft Technology"
"140";"Africa Asia Google Development Economics"
"141";"Moon NASA Planets Adventure Energy"
"142";"Bioethics Cancer Design Health Health care"
"143";"AIDS Africa Economics Global issues Health"
"144";"Design Entertainment Global issues Software Technology"
"145";"Ants Biology Collaboration Design Insects"
"146";"Demo Design Entertainment Gaming Technology"
"147";"Design Entertainment Film Health Medicine"
"148";"Art Arts Entertainment Poetry Spoken word"
