"Название";"URL";"Количество участников"
"Rocky Mountain SF 2011";"https://contest.yandex.ru/contest/11/enter/";"98"
"ECNA 2011";"https://contest.yandex.ru/contest/13/enter/";"69"
"South Eastern USA";"https://contest.yandex.ru/contest/43/enter/";"40"
"PTZ 2009, Ufa tour";"https://contest.yandex.ru/contest/44/enter/";"27"
"PTZ2009, ASC 35";"https://contest.yandex.ru/contest/45/enter/";"24"
"Blitz (26 problems)";"https://contest.yandex.ru/contest/48/enter/";"140"
"A+B Virtual";"https://contest.yandex.ru/contest/59/enter/";"1782"
"CPR Beta 1";"https://contest.yandex.ru/contest/60/enter/";"361"
"Mirror of XI Open Cup Onsite";"https://contest.yandex.ru/contest/64/enter/";"61"
"Moscow Subregional 2006";"https://contest.yandex.ru/contest/65/enter/";"94"
"Moscow Subregional 2007 (?)";"https://contest.yandex.ru/contest/67/enter/";"26"
"Moscow Subregional 2008";"https://contest.yandex.ru/contest/68/enter/";"83"
"Moscow Subregional - 2009";"https://contest.yandex.ru/contest/72/enter/";"72"
"Northern Subregional  2006";"https://contest.yandex.ru/contest/75/enter/";"67"
"Northern Subregional  2007";"https://contest.yandex.ru/contest/81/enter/";"52"
"Northern Subregional  2008";"https://contest.yandex.ru/contest/84/enter/";"70"
"Northern Subregional 2009";"https://contest.yandex.ru/contest/93/enter/";"56"
"Western Subregional 2009";"https://contest.yandex.ru/contest/94/enter/";"96"
"Quarterfinal 1: Moscow-2012";"https://contest.yandex.ru/contest/96/enter/";"151"
"Quarterfinal 2: Western-2012";"https://contest.yandex.ru/contest/97/enter/";"158"
"Quarterfinal 3: Northern-2012";"https://contest.yandex.ru/contest/98/enter/";"131"
"Central Subregional 2012";"https://contest.yandex.ru/contest/110/enter/";"120"
"Southern Subregional 2012";"https://contest.yandex.ru/contest/111/enter/";"49"
"Eastern Subregional 2012";"https://contest.yandex.ru/contest/113/enter/";"59"
"BAPC 2012";"https://contest.yandex.ru/contest/120/enter/";"15"
"Northern Subregional MIPT Run";"https://contest.yandex.ru/contest/121/enter/";"14"
"All-Siberian Olympiad 2008, Day 2";"https://contest.yandex.ru/contest/122/enter/";"31"
"NCPC 2012";"https://contest.yandex.ru/contest/123/enter/";"55"
"MIPT Training Camp Entry Contest: CTU Open 2012";"https://contest.yandex.ru/contest/124/enter/";"28"
"Rocky Mountain Regional 2012";"https://contest.yandex.ru/contest/126/enter/";"13"
"MIPT Training camp personal contest";"https://contest.yandex.ru/contest/135/enter/";"42"
"MIPT Training camp Graph contest (16.11.2012)";"https://contest.yandex.ru/contest/137/enter/";"21"
"MIPT Training camp Final Contest 1  (18.11.2012)";"https://contest.yandex.ru/contest/143/enter/";"28"
"MIPT Training camp Final contest 2 (19.11.2012)";"https://contest.yandex.ru/contest/144/enter/";"39"
"NWERC 2012";"https://contest.yandex.ru/contest/151/enter/";"71"
"Baku 2012";"https://contest.yandex.ru/contest/153/enter/";"40"
"WS 2012 Day 6 Виталий Гольдштейн";"https://contest.yandex.ru/contest/170/enter/";"171"
"WS 2012 Day 4 Сергей Копелиович";"https://contest.yandex.ru/contest/178/enter/";"173"
"WS 2012 Day 2 Михаил Дворкин";"https://contest.yandex.ru/contest/188/enter/";"164"
"WS 2012 Day 1 Александр Миланин";"https://contest.yandex.ru/contest/189/enter/";"173"
"WS 2012 Day 5 Дмитрий Жуков ";"https://contest.yandex.ru/contest/190/enter/";"166"
"WS 2012 Day 3 Виталий Неспирный";"https://contest.yandex.ru/contest/191/enter/";"166"
"WS 2012 Day 7 Егор Куликов";"https://contest.yandex.ru/contest/193/enter/";"178"
"WS 2012 Day 6 Антон Лунев";"https://contest.yandex.ru/contest/194/enter/";"162"
"WS 2012 Day 8 Эльдар Богданов ";"https://contest.yandex.ru/contest/195/enter/";"165"
"WS 2012 Day 8 Сергей Копелиович";"https://contest.yandex.ru/contest/197/enter/";"178"
"WS 2012 Day 9 Станислав Пак";"https://contest.yandex.ru/contest/198/enter/";"167"
"WS 2012 Day 7 Иван Мистряну";"https://contest.yandex.ru/contest/199/enter/";"164"
"WS 2011 Day 2 Дмитрий Жуков";"https://contest.yandex.ru/contest/207/enter/";"183"
"WS 2011 Day 3 Михаил Дворкин";"https://contest.yandex.ru/contest/208/enter/";"173"
"WS 2011 Day 4 День Киевского Политехнического Института";"https://contest.yandex.ru/contest/210/enter/";"167"
"WS 2011 Day 6 Виталий Неспирный и Антон Лунев";"https://contest.yandex.ru/contest/211/enter/";"174"
"WS 2011 Day 7 Эльдар Богданов и Иван Метельский";"https://contest.yandex.ru/contest/212/enter/";"165"
"WS 2011 Day 8 Петр Митричев";"https://contest.yandex.ru/contest/213/enter/";"168"
"WS 2011 Day 9  Виталий Гольдштейн";"https://contest.yandex.ru/contest/214/enter/";"177"
"WS 2010 Day 1 Неспирный+Лунев";"https://contest.yandex.ru/contest/217/enter/";"176"
"WS 2010 Day 2 Гольдштейн";"https://contest.yandex.ru/contest/220/enter/";"178"
"WS 2008 Day 1 Nespirnyy";"https://contest.yandex.ru/contest/222/enter/";"221"
"WS 2008 Day 3 Biletsky";"https://contest.yandex.ru/contest/223/enter/";"172"
"WS 2008 Day 2 Rybak";"https://contest.yandex.ru/contest/224/enter/";"175"
"WS 2008 Day 4 Lopatin ";"https://contest.yandex.ru/contest/225/enter/";"174"
"WS 2008 Day 5 Stankevich";"https://contest.yandex.ru/contest/226/enter/";"174"
"WS 2010 Day 3 Михаил Левин";"https://contest.yandex.ru/contest/229/enter/";"177"
"WS 2009 Day 3-4 Goldshteyn";"https://contest.yandex.ru/contest/231/enter/";"172"
"WS 2009 Day 5 Medvedev";"https://contest.yandex.ru/contest/232/enter/";"169"
"WS 2009 Day 6 Zarkua";"https://contest.yandex.ru/contest/233/enter/";"163"
"WS 2009 Day 1 Виталий Неспирный";"https://contest.yandex.ru/contest/234/enter/";"175"
"WS 2011 Day 5 Сергей Копелиович";"https://contest.yandex.ru/contest/235/enter/";"181"
"WS 2010 Day 4 Богданов+Луценко";"https://contest.yandex.ru/contest/236/enter/";"169"
"WS 2010 Day 5 Порублев";"https://contest.yandex.ru/contest/237/enter/";"179"
"WS 2010 Day 6 Кордубан ";"https://contest.yandex.ru/contest/238/enter/";"168"
"WS 2010 Day 7 Заркуа";"https://contest.yandex.ru/contest/239/enter/";"167"
"WS 2011 Day 1 Станислав Пак";"https://contest.yandex.ru/contest/241/enter/";"187"
"WS2013 Day 1 - Миланин Александр";"https://contest.yandex.ru/contest/264/enter/";"46"
"WS 2013 Day 3 Шмелев Алексей";"https://contest.yandex.ru/contest/265/enter/";"16"
"WS 2013 Day 2 Бондаренко Наталья";"https://contest.yandex.ru/contest/266/enter/";"33"
"WS 2013 Day 5 Геральд Агапов, Иван Фефер";"https://contest.yandex.ru/contest/267/enter/";"25"
"WS 2013 Day 6 Геральд Агапов, Иван Фефер";"https://contest.yandex.ru/contest/273/enter/";"28"
"WS 2013 Day 7 Куликов Егор";"https://contest.yandex.ru/contest/274/enter/";"30"
